,Location,Vehicle_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Company,Fuel_Consumption(kmpl),Engine(CC),Power(bhp),Price
1568,Mumbai,3,40000,Diesel,Automatic,First,7.0,LAND,12.81,1999.0,148.31,41.5
1569,Pune,4,27300,Petrol,Manual,First,5.0,HONDA,17.8,1497.0,117.3,7.0
1570,Kochi,9,29813,Petrol,Automatic,Second,5.0,MERCEDES-BENZ,14.74,1991.0,181.03,11.5
1571,Pune,9,71000,Petrol,Manual,First,5.0,MARUTI,20.51,998.0,67.04,2.6
1572,Kolkata,6,32000,Diesel,Manual,First,5.0,HYUNDAI,22.32,1582.0,126.3,4.3
1573,Mumbai,3,19234,Clean_Fuel,Manual,First,7.0,MARUTI,17.5,1373.0,80.46,8.35
1574,Jaipur,3,50510,Diesel,Automatic,First,5.0,VOLKSWAGEN,17.06,1968.0,141.0,24.9
1575,Pune,9,102000,Diesel,Automatic,First,5.0,BMW,15.06,1995.0,177.0,13.75
1576,Kolkata,6,42277,Diesel,Manual,First,5.0,HYUNDAI,24.0,1186.0,73.97,3.85
1577,Mumbai,6,46000,Diesel,Automatic,First,5.0,MERCEDES-BENZ,13.0,2143.0,201.1,23.25
1578,Chennai,8,35000,Diesel,Manual,First,7.0,MAHINDRA,13.6,2523.0,0.0,7.0
1579,Bangalore,5,50000,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,5.75
1580,Mumbai,12,62000,Petrol,Manual,Second,5.0,HYUNDAI,20.36,1197.0,78.9,1.65
1581,Mumbai,8,78000,Diesel,Manual,First,5.0,VOLKSWAGEN,19.33,1968.0,138.1,6.5
1582,Chennai,9,79000,Diesel,Manual,First,5.0,SKODA,17.67,1968.0,138.08,7.5
1583,Kochi,1,6773,Diesel,Automatic,First,7.0,AUDI,14.75,2967.0,245.0,72.94
1584,Chennai,10,135000,Diesel,Manual,Second,7.0,TOYOTA,11.5,2982.0,171.0,11.0
1585,Kochi,7,36716,Petrol,Manual,First,5.0,MARUTI,18.9,1061.0,67.0,3.02
1586,Coimbatore,7,65060,Petrol,Manual,First,5.0,HYUNDAI,21.1,814.0,55.2,3.32
1587,Delhi,7,33000,Petrol,Manual,First,5.0,HONDA,19.4,1198.0,86.8,3.24
1588,Kolkata,5,11110,Petrol,Manual,First,5.0,MARUTI,22.74,796.0,47.3,2.35
1589,Jaipur,7,63000,Diesel,Manual,First,7.0,MAHINDRA,15.96,2523.0,62.1,5.5
1590,Mumbai,5,27030,Petrol,Manual,First,5.0,HONDA,17.8,1497.0,117.3,6.75
1591,Mumbai,5,19600,Petrol,Manual,First,5.0,SKODA,15.0,1598.0,103.52,6.15
1592,Pune,4,27755,Petrol,Manual,First,5.0,MARUTI,22.0,1197.0,81.8,5.45
1593,Hyderabad,7,20000,Petrol,Manual,Second,5.0,HYUNDAI,21.1,814.0,55.2,2.3
1594,Kochi,5,24782,Petrol,Manual,First,5.0,MARUTI,20.85,1197.0,83.14,6.21
1595,Coimbatore,6,47303,Petrol,Automatic,First,5.0,NISSAN,19.34,1198.0,76.0,5.21
1596,Delhi,12,71000,Petrol,Automatic,First,7.0,AUDI,8.3,4134.0,250.0,11.99
1597,Pune,10,135000,Diesel,Manual,First,5.0,MARUTI,17.8,1248.0,75.0,3.1
1598,Jaipur,3,1000,Diesel,Manual,First,5.0,TATA,13.49,2179.0,138.03,7.5
1599,Kolkata,4,29000,Diesel,Manual,First,5.0,VOLKSWAGEN,20.14,1498.0,88.8,4.0
1600,Kochi,4,36367,Petrol,Manual,First,5.0,HONDA,17.8,1497.0,117.3,7.73
1601,Bangalore,5,38000,Petrol,Manual,First,5.0,HONDA,17.4,1497.0,117.3,7.8
1602,Hyderabad,9,83969,Petrol,Manual,First,4.0,MARUTI,16.1,796.0,37.0,1.3
1603,Jaipur,6,82621,Diesel,Manual,First,5.0,VOLKSWAGEN,20.14,1498.0,88.8,4.42
1604,Pune,11,89000,Diesel,Automatic,First,7.0,CHEVROLET,12.5,1991.0,147.9,4.0
1605,Kolkata,4,54000,Diesel,Manual,First,7.0,MAHINDRA,16.0,2179.0,140.0,13.0
1606,Kochi,5,61691,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,5.38
1607,Chennai,9,32200,Petrol,Manual,Second,5.0,HYUNDAI,17.0,1197.0,80.0,3.25
1608,Jaipur,4,68630,Petrol,Automatic,First,5.0,MARUTI,20.51,998.0,67.0,3.87
1609,Mumbai,6,61000,Diesel,Automatic,Second,5.0,VOLKSWAGEN,16.96,1968.0,138.03,8.25
1610,Mumbai,2,32644,Petrol,Manual,First,5.0,MARUTI,20.73,1373.0,91.1,9.28
1611,Delhi,8,85000,Diesel,Automatic,First,7.0,MAHINDRA,11.79,2179.0,120.0,6.25
1612,Mumbai,12,75000,Petrol,Manual,Second,5.0,CHEVROLET,15.26,1150.0,74.9,1.15
1613,Kochi,4,40347,Petrol,Manual,First,5.0,MARUTI,20.73,1373.0,91.2,7.8
1614,Hyderabad,8,60788,Diesel,Manual,First,5.0,HYUNDAI,23.0,1396.0,90.0,4.5
1615,Kochi,2,18664,Petrol,Manual,First,5.0,HONDA,18.7,1199.0,88.7,7.56
1616,Coimbatore,3,57847,Diesel,Manual,First,7.0,MAHINDRA,16.0,2179.0,140.0,16.08
1617,Bangalore,8,52237,Petrol,Manual,First,5.0,HYUNDAI,17.0,1197.0,80.0,4.5
1618,Chennai,8,128000,Diesel,Manual,First,5.0,HYUNDAI,22.32,1582.0,126.32,5.0
1619,Delhi,9,54000,Petrol,Manual,First,5.0,HYUNDAI,19.81,1086.0,68.05,2.2
1620,Bangalore,6,49800,Petrol,Automatic,First,5.0,MARUTI,23.1,998.0,67.04,4.0
1621,Kolkata,8,98000,Diesel,Manual,First,5.0,SKODA,20.86,1199.0,73.9,2.51
1622,Delhi,5,60095,Diesel,Manual,First,5.0,MARUTI,25.2,1248.0,74.0,4.75
1623,Pune,12,68000,Petrol,Manual,Second,5.0,HYUNDAI,16.0,1086.0,66.7,2.0
1624,Jaipur,10,81402,Petrol,Manual,Second,5.0,HYUNDAI,20.36,1197.0,78.9,2.1
1625,Mumbai,7,38000,Petrol,Automatic,First,5.0,FORD,16.5,1499.0,110.0,6.25
1626,Kochi,9,92239,Diesel,Automatic,Second,5.0,MERCEDES-BENZ,11.5,2987.0,210.0,10.6
1627,Ahmedabad,3,49224,Diesel,Manual,First,5.0,MARUTI,25.2,1248.0,74.0,6.0
1628,Jaipur,15,12000,Petrol,Manual,Second,4.0,MARUTI,16.1,796.0,37.0,0.45
1629,Pune,10,54898,Petrol,Manual,Third,5.0,MARUTI,16.1,1298.0,88.2,2.5
1630,Mumbai,2,2500,Petrol,Manual,First,5.0,HYUNDAI,15.29,1591.0,121.3,12.75
1631,Kochi,3,32838,Diesel,Automatic,First,5.0,BMW,17.05,1995.0,190.0,30.29
1632,Hyderabad,14,27076,Petrol,Manual,First,5.0,FORD,13.8,1299.0,70.0,1.6
1633,Kochi,3,75445,Diesel,Manual,First,5.0,FORD,22.7,1498.0,89.84,7.54
1634,Kochi,5,46601,Petrol,Manual,First,5.0,MARUTI,20.73,1373.0,91.1,6.84
1635,Kolkata,8,72000,Diesel,Automatic,First,5.0,VOLKSWAGEN,18.33,1968.0,167.7,6.0
1636,Pune,3,27000,Diesel,Manual,First,5.0,HONDA,27.3,1498.0,98.6,8.0
1637,Coimbatore,4,68193,Diesel,Automatic,First,5.0,AUDI,17.11,1968.0,174.33,24.74
1638,Kochi,3,34429,Diesel,Manual,First,5.0,HYUNDAI,24.0,1120.0,70.0,5.5
1639,Delhi,7,46000,Diesel,Automatic,First,7.0,MERCEDES-BENZ,12.0,2987.0,224.0,36.0
1640,Coimbatore,7,80544,Diesel,Manual,First,7.0,TOYOTA,12.99,2494.0,100.6,11.79
1641,Jaipur,9,42000,Petrol,Manual,Second,5.0,NISSAN,16.95,1498.0,97.7,3.0
1642,Bangalore,9,94821,Diesel,Automatic,Second,5.0,SKODA,20.0,1968.0,138.1,6.75
1643,Jaipur,14,100000,Petrol,Manual,First,5.0,CHEVROLET,14.49,1399.0,92.7,1.4
1644,Mumbai,6,57000,Diesel,Manual,First,7.0,HONDA,24.2,1498.0,98.6,5.75
1645,Hyderabad,10,79894,Diesel,Manual,First,5.0,MARUTI,21.1,1248.0,73.9,3.4
1646,Coimbatore,9,44748,Petrol,Manual,Second,5.0,VOLKSWAGEN,16.47,1198.0,73.9,4.89
1647,Mumbai,7,31000,Petrol,Manual,First,5.0,NISSAN,13.24,1598.0,102.5,4.95
1648,Coimbatore,7,60587,Petrol,Automatic,Second,5.0,MARUTI,16.98,998.0,66.1,3.49
1649,Pune,9,32000,Diesel,Manual,First,5.0,TOYOTA,23.59,1364.0,0.0,3.85
1650,Pune,6,43772,Petrol,Manual,First,5.0,HONDA,17.0,1497.0,118.0,6.35
1651,Coimbatore,3,23576,Petrol,Automatic,First,5.0,HYUNDAI,18.9,1197.0,82.0,7.08
1652,Hyderabad,3,4000,Diesel,Automatic,First,5.0,JAGUAR,13.6,1999.0,177.0,38.0
1653,Kolkata,8,62000,Diesel,Manual,First,8.0,MAHINDRA,12.05,2179.0,120.0,6.25
1654,Mumbai,9,36000,Petrol,Automatic,First,5.0,MERCEDES-BENZ,11.74,1796.0,186.0,10.15
1655,Delhi,6,80000,Petrol,Automatic,First,5.0,SKODA,13.7,1798.0,157.75,10.75
1656,Pune,8,137008,Diesel,Automatic,First,4.0,CHEVROLET,18.1,1991.0,147.9,4.65
1657,Delhi,10,61001,Diesel,Manual,First,8.0,MAHINDRA,12.05,2179.0,120.0,4.75
1658,Coimbatore,5,52191,Petrol,Manual,First,5.0,HYUNDAI,17.1,1591.0,121.3,7.78
1659,Hyderabad,4,77076,Diesel,Manual,First,5.0,HYUNDAI,23.0,1396.0,90.0,6.75
1660,Hyderabad,12,56000,Petrol,Automatic,First,5.0,HONDA,16.4,1497.0,78.0,2.99
1661,Kolkata,7,21000,Petrol,Manual,First,5.0,HYUNDAI,20.36,1197.0,78.9,2.35
1662,Delhi,7,89429,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,3.65
1663,Delhi,8,45631,Petrol,Manual,Second,5.0,MARUTI,22.5,998.0,67.04,2.74
1664,Jaipur,7,53959,Petrol,Manual,First,5.0,HONDA,19.4,1198.0,86.8,3.5
1665,Kochi,6,55804,Petrol,Manual,First,5.0,HYUNDAI,17.0,1197.0,80.0,4.76
1666,Kochi,4,25899,Petrol,Manual,First,5.0,VOLKSWAGEN,15.04,1598.0,103.2,6.2
1667,Pune,12,82000,Diesel,Manual,Second,5.0,SKODA,18.7,1896.0,66.0,2.35
1668,Mumbai,6,52000,Diesel,Automatic,First,5.0,MERCEDES-BENZ,13.0,2143.0,204.0,24.5
1669,Pune,7,20000,Petrol,Manual,First,5.0,RENAULT,13.24,1598.0,102.57,6.0
1670,Hyderabad,3,31829,Petrol,Manual,First,5.0,HYUNDAI,21.1,814.0,55.2,3.65
1671,Coimbatore,4,18094,Petrol,Manual,Second,5.0,MARUTI,18.6,1197.0,85.8,6.26
1672,Jaipur,9,80000,Diesel,Manual,Second,5.0,NISSAN,19.5,1461.0,0.0,2.1
1673,Mumbai,5,11964,Diesel,Automatic,First,5.0,AUDI,13.22,2967.0,241.4,32.95
1674,Coimbatore,2,22684,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.83,7.8
1675,Bangalore,6,43521,Petrol,Manual,First,5.0,HONDA,19.4,1198.0,86.8,4.25
1676,Kochi,6,49386,Petrol,Manual,First,5.0,MARUTI,17.5,1298.0,85.8,4.86
1677,Delhi,3,12248,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,81.86,4.9
1678,Coimbatore,6,67771,Diesel,Manual,First,8.0,MAHINDRA,11.68,2498.0,112.0,7.06
1679,Delhi,5,60007,Petrol,Automatic,First,4.0,VOLKSWAGEN,17.21,1798.0,189.0,4.5
1680,Coimbatore,9,48624,Petrol,Manual,First,5.0,MARUTI,24.07,998.0,67.1,3.22
1681,Kolkata,6,30000,Diesel,Manual,First,5.0,VOLKSWAGEN,22.07,1199.0,73.9,3.25
1682,Delhi,4,81605,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,4.53
1683,Coimbatore,3,32642,Diesel,Automatic,First,5.0,MERCEDES-BENZ,14.84,2143.0,170.0,34.78
1684,Pune,6,34200,Petrol,Automatic,First,5.0,HYUNDAI,15.74,1591.0,121.3,6.5
1685,Chennai,10,72204,Petrol,Manual,First,5.0,FIAT,15.7,1172.0,67.0,2.25
1686,Pune,9,156347,Diesel,Manual,Second,8.0,TOYOTA,12.99,2494.0,100.0,8.0
1687,Kochi,3,47357,Diesel,Automatic,First,7.0,MAHINDRA,18.49,1493.0,100.0,8.37
1688,Coimbatore,5,61738,Diesel,Manual,First,5.0,VOLKSWAGEN,20.14,1498.0,88.8,5.39
1689,Kochi,2,32586,Diesel,Automatic,First,5.0,BMW,22.48,1995.0,190.0,37.3
1690,Coimbatore,2,40129,Diesel,Automatic,First,5.0,MERCEDES-BENZ,11.57,2987.0,254.79,70.8
1691,Mumbai,8,51000,Diesel,Automatic,First,5.0,MERCEDES-BENZ,11.74,2987.0,254.8,22.25
1692,Kochi,2,10393,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,81.86,6.03
1693,Mumbai,9,46000,Petrol,Automatic,First,5.0,SKODA,13.7,1798.0,157.75,4.9
1694,Chennai,7,21000,Petrol,Automatic,First,5.0,HYUNDAI,16.95,1197.0,78.9,3.96
1695,Hyderabad,9,113562,Diesel,Manual,First,5.0,HYUNDAI,23.0,1396.0,90.0,4.6
1696,Mumbai,9,100010,Diesel,Manual,Second,8.0,MAHINDRA,12.05,2179.0,120.0,5.5
1697,Mumbai,7,63107,Petrol,Manual,First,5.0,HONDA,19.4,1198.0,86.8,3.25
1698,Jaipur,3,58500,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.83,6.25
1700,Chennai,9,108242,Diesel,Manual,First,5.0,HYUNDAI,16.8,1493.0,110.0,4.25
1701,Pune,9,146300,Diesel,Manual,First,7.0,TOYOTA,11.5,2982.0,171.0,12.25
1702,Pune,9,62943,Diesel,Automatic,Second,5.0,BMW,17.05,1995.0,184.0,10.95
1703,Delhi,7,65000,Diesel,Automatic,First,7.0,TOYOTA,12.55,2982.0,168.5,16.5
1704,Pune,2,1700,Petrol,Automatic,First,5.0,HONDA,19.0,1199.0,88.76,7.8
1705,Kochi,7,34697,Petrol,Manual,First,5.0,HYUNDAI,19.81,1086.0,68.05,3.7
1706,Hyderabad,8,58000,Petrol,Manual,First,5.0,HYUNDAI,17.0,1197.0,80.0,4.0
1707,Mumbai,5,32500,Diesel,Automatic,First,5.0,BMW,19.59,1995.0,187.74,26.75
1708,Coimbatore,4,58661,Diesel,Automatic,First,5.0,AUDI,15.17,1968.0,181.0,28.03
1709,Kochi,3,37124,Petrol,Manual,First,5.0,MARUTI,20.4,1197.0,81.8,5.44
1710,Delhi,3,44000,Petrol,Automatic,First,5.0,MARUTI,21.4,1197.0,83.1,6.2
1711,Kolkata,15,45200,Petrol,Manual,First,5.0,HYUNDAI,13.2,1495.0,94.0,0.9
1712,Mumbai,4,11000,Petrol,Manual,First,5.0,MARUTI,18.5,1197.0,85.8,3.95
1713,Pune,9,65000,Petrol,Manual,Second,4.0,TATA,26.0,624.0,35.0,0.44
1714,Ahmedabad,8,55005,Diesel,Manual,First,5.0,FORD,20.0,1399.0,68.0,2.75
1715,Hyderabad,9,81650,Diesel,Automatic,First,5.0,VOLKSWAGEN,18.33,1968.0,167.7,7.5
1716,Chennai,10,160000,Diesel,Manual,Second,5.0,FIAT,19.0,1248.0,93.0,2.5
1717,Hyderabad,5,169000,Diesel,Manual,First,7.0,MAHINDRA,14.95,2489.0,93.7,5.0
1718,Hyderabad,7,67263,Petrol,Manual,First,5.0,MARUTI,18.9,998.0,67.1,3.6
1719,Kochi,8,44223,Petrol,Manual,First,5.0,TOYOTA,17.6,1496.0,88.7,3.99
1720,Coimbatore,5,36840,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,5.64
1721,Pune,6,160000,Diesel,Manual,First,8.0,TOYOTA,12.99,2494.0,100.0,12.0
1722,Kolkata,12,133000,Diesel,Manual,First,5.0,TATA,16.8,1405.0,62.0,0.7
1723,Mumbai,5,69123,Diesel,Automatic,First,5.0,BMW,18.88,1995.0,184.0,19.0
1724,Delhi,3,38000,Diesel,Automatic,First,7.0,FORD,10.91,3198.0,197.0,30.48
1725,Mumbai,3,5500,Petrol,Manual,First,5.0,MARUTI,21.56,1462.0,103.25,8.2
1726,Kolkata,5,1001,Diesel,Manual,First,5.0,FORD,25.83,1498.0,99.0,7.55
1727,Pune,13,59000,Petrol,Manual,Third,5.0,CHEVROLET,15.26,1150.0,74.9,0.99
1728,Delhi,9,78256,Petrol,Automatic,First,5.0,HONDA,16.8,1497.0,118.0,4.15
1729,Chennai,4,90000,Petrol,Manual,First,5.0,NISSAN,16.95,1498.0,97.6,6.2
1730,Kolkata,4,18000,Petrol,Manual,First,5.0,MARUTI,19.1,1197.0,85.8,4.4
1731,Kolkata,8,60000,Diesel,Manual,First,5.0,FORD,20.0,1399.0,68.0,2.1
1732,Jaipur,9,130000,Diesel,Manual,First,5.0,FIAT,20.3,1248.0,75.0,2.2
1733,Coimbatore,2,32851,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.86,8.34
1734,Kolkata,6,32000,Diesel,Manual,First,5.0,MARUTI,23.4,1248.0,74.0,4.35
1735,Hyderabad,6,62700,Diesel,Manual,First,5.0,FORD,22.7,1498.0,89.84,6.8
1736,Jaipur,10,71000,Diesel,Manual,First,5.0,MARUTI,19.3,1248.0,73.9,3.3
1737,Kochi,4,19947,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,5.04
1738,Hyderabad,8,91000,Diesel,Automatic,First,7.0,FORD,11.4,2953.0,153.86,9.2
1739,Hyderabad,6,74000,Diesel,Manual,First,5.0,VOLKSWAGEN,22.07,1199.0,73.9,5.7
1740,Kochi,2,55594,Diesel,Manual,First,7.0,MAHINDRA,18.49,1493.0,100.0,8.48
1741,Hyderabad,7,58000,Diesel,Automatic,First,4.0,BMW,11.2,2993.0,306.0,48.0
1742,Hyderabad,8,110224,Diesel,Manual,First,5.0,RENAULT,19.01,1461.0,108.45,6.1
1743,Ahmedabad,10,21002,Petrol,Manual,First,5.0,MARUTI,22.5,998.0,67.04,2.75
1744,Pune,3,121000,Diesel,Manual,First,7.0,MARUTI,24.52,1248.0,88.5,8.0
1745,Jaipur,10,73513,Petrol,Manual,First,5.0,MARUTI,19.7,796.0,46.3,1.85
1746,Jaipur,5,34000,Petrol,Automatic,First,5.0,MARUTI,20.51,998.0,67.0,3.85
1747,Coimbatore,3,28371,Petrol,Manual,First,7.0,MARUTI,15.1,1196.0,73.0,4.74
1748,Kochi,7,74755,Diesel,Manual,First,5.0,RENAULT,19.6,1461.0,108.45,5.63
1749,Kochi,9,25805,Petrol,Manual,First,5.0,MARUTI,18.2,1061.0,64.0,2.62
1750,Kochi,5,82603,Petrol,Manual,First,5.0,RENAULT,13.06,1598.0,102.53,4.9
1751,Chennai,14,110000,Petrol,Manual,First,5.0,HONDA,13.5,1799.0,130.0,2.65
1752,Delhi,8,88000,Diesel,Manual,First,7.0,MAHINDRA,16.0,2179.0,140.0,5.99
1753,Chennai,9,110000,Diesel,Manual,Second,5.0,MAHINDRA,21.0,1461.0,64.1,2.4
1754,Delhi,3,15000,Petrol,Manual,First,5.0,RENAULT,21.7,999.0,67.0,4.25
1755,Mumbai,7,70000,Diesel,Automatic,First,5.0,PORSCHE,15.15,2967.0,240.0,40.0
1756,Pune,12,150000,Diesel,Manual,Second,5.0,MARUTI,28.4,1248.0,74.0,2.7
1757,Hyderabad,4,19000,Petrol,Manual,First,5.0,OTHERS,20.63,1198.0,67.0,2.99
1758,Chennai,9,37442,Petrol,Manual,First,5.0,HYUNDAI,18.5,1197.0,80.0,3.4
1759,Coimbatore,4,63111,Diesel,Automatic,Second,5.0,BMW,18.12,1995.0,190.0,30.8
1760,Mumbai,8,88000,Diesel,Manual,First,7.0,MARUTI,20.77,1248.0,88.8,5.85
1761,Jaipur,6,42355,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,4.0
1762,Coimbatore,9,75871,Petrol,Automatic,First,5.0,BMW,9.43,2996.0,254.0,14.12
1763,Mumbai,9,65000,Diesel,Manual,First,5.0,CHEVROLET,17.9,1998.0,163.7,4.55
1764,Pune,5,69000,Diesel,Automatic,First,5.0,MERCEDES-BENZ,0.0,2987.0,165.0,38.0
1765,Jaipur,9,79232,Diesel,Manual,First,5.0,MARUTI,21.1,1248.0,73.9,2.9
1766,Pune,13,220000,Petrol,Automatic,Second,5.0,MERCEDES-BENZ,11.74,1796.0,186.0,6.0
1767,Kochi,4,28470,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.83,6.95
1768,Kolkata,6,9759,Petrol,Manual,First,5.0,HYUNDAI,20.3,998.0,68.05,2.75
1769,Pune,6,75216,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,5.1
1770,Chennai,3,8000,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.83,6.75
1771,Mumbai,6,59451,Petrol,Manual,First,5.0,MARUTI,18.5,1197.0,85.8,3.69
1772,Hyderabad,7,53996,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,5.45
1773,Kochi,2,15135,Petrol,Manual,First,5.0,HONDA,17.5,1199.0,88.7,9.29
1774,Chennai,5,53000,Petrol,Automatic,Second,5.0,HYUNDAI,16.9,1197.0,81.86,4.0
1775,Kolkata,7,40000,Petrol,Manual,First,5.0,HONDA,18.0,1198.0,86.7,2.9
1776,Pune,7,21107,Petrol,Manual,First,5.0,HYUNDAI,17.1,1591.0,121.3,5.25
1777,Mumbai,6,56000,Petrol,Manual,First,5.0,HONDA,16.8,1497.0,116.3,5.75
1778,Coimbatore,3,19623,Petrol,Manual,First,5.0,HYUNDAI,15.29,1591.0,121.3,13.12
1779,Kochi,6,70963,Diesel,Manual,First,7.0,MAHINDRA,15.1,2179.0,140.0,7.83
1780,Mumbai,7,25755,Clean_Fuel,Manual,First,5.0,MARUTI,26.6,998.0,58.16,3.15
1781,Mumbai,7,51450,Diesel,Manual,First,7.0,TOYOTA,12.8,2494.0,102.0,10.4
1782,Pune,8,75000,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,4.35
1783,Coimbatore,3,37832,Petrol,Automatic,First,5.0,MARUTI,22.5,998.0,67.0,5.23
1784,Coimbatore,4,43041,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,81.86,6.01
1785,Hyderabad,6,97236,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,4.4
1786,Chennai,10,83000,Diesel,Automatic,First,5.0,BMW,16.07,1995.0,181.0,12.75
1787,Delhi,9,65000,Petrol,Manual,First,5.0,FORD,15.6,1196.0,70.0,2.4
1788,Kochi,2,46007,Petrol,Manual,First,5.0,VOLKSWAGEN,17.0,1198.0,73.75,5.71
1789,Kochi,5,65925,Diesel,Manual,Second,5.0,FORD,22.7,1498.0,89.84,5.49
1790,Pune,15,73500,Petrol,Manual,Second,5.0,HONDA,13.0,1343.0,90.0,1.3
1791,Kolkata,6,55000,Diesel,Manual,First,7.0,MAHINDRA,16.0,2179.0,140.0,8.5
1792,Delhi,8,115000,Diesel,Manual,First,7.0,TOYOTA,13.0,2982.0,168.5,12.99
1793,Kolkata,3,31184,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,81.86,5.0
1794,Pune,3,41747,Diesel,Automatic,First,5.0,MARUTI,28.4,1248.0,73.75,9.0
1795,Kochi,4,38143,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,5.22
1796,Pune,8,19030,Petrol,Manual,First,5.0,VOLKSWAGEN,16.47,1198.0,73.9,3.8
1797,Coimbatore,1,20877,Petrol,Manual,First,5.0,TOYOTA,18.16,1197.0,78.9,7.27
1798,Mumbai,4,23555,Petrol,Manual,First,5.0,MARUTI,22.0,1197.0,81.8,5.1
1799,Bangalore,7,29000,Diesel,Automatic,First,5.0,MERCEDES-BENZ,14.21,2143.0,203.0,29.0
1800,Pune,7,61000,Petrol,Manual,First,5.0,MARUTI,18.9,998.0,67.1,2.9
1801,Kochi,8,4187,Petrol,Manual,First,4.0,TATA,26.0,624.0,35.0,1.38
1802,Bangalore,9,46000,Petrol,Manual,First,5.0,SKODA,13.4,1798.0,157.8,5.5
1803,Mumbai,4,28000,Petrol,Automatic,First,5.0,VOLKSWAGEN,17.21,1197.0,103.5,7.25
1804,Coimbatore,6,83558,Diesel,Manual,First,5.0,HYUNDAI,22.32,1582.0,126.32,6.98
1805,Hyderabad,3,40000,Diesel,Manual,First,5.0,TATA,22.95,1248.0,74.0,5.25
1806,Kolkata,7,36000,Petrol,Manual,First,5.0,HYUNDAI,21.1,814.0,55.2,1.95
1807,Bangalore,6,21000,Diesel,Automatic,First,5.0,AUDI,17.11,1968.0,174.33,24.5
1808,Kochi,7,62162,Diesel,Manual,First,7.0,TOYOTA,12.99,2494.0,100.0,8.31
1809,Hyderabad,8,83000,Diesel,Automatic,First,5.0,MERCEDES-BENZ,11.74,2987.0,254.8,36.0
1810,Pune,5,58000,Diesel,Manual,First,5.0,HYUNDAI,24.4,1120.0,71.0,5.5
1811,Kochi,9,62332,Petrol,Automatic,First,5.0,HONDA,11.7,2354.0,177.6,5.89
1812,Kochi,4,50867,Diesel,Manual,First,5.0,VOLKSWAGEN,20.34,1498.0,103.2,7.95
1813,Mumbai,10,73000,Petrol,Manual,First,5.0,HYUNDAI,17.0,1197.0,80.0,2.75
1814,Jaipur,8,98008,Diesel,Manual,First,5.0,HYUNDAI,22.7,1582.0,126.24,6.25
1815,Hyderabad,5,36000,Diesel,Manual,First,5.0,FORD,20.0,1399.0,68.05,4.95
1816,Kochi,1,27339,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.83,6.27
1817,Kolkata,3,25000,Diesel,Manual,First,5.0,HYUNDAI,23.9,1582.0,126.2,8.65
1818,Kolkata,6,37000,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,3.5
1819,Hyderabad,5,56000,Diesel,Automatic,First,5.0,AUDI,14.16,1968.0,174.3,35.0
1820,Kolkata,5,27000,Petrol,Manual,First,5.0,MARUTI,17.5,1298.0,85.8,4.45
1821,Kolkata,8,37000,Petrol,Manual,First,5.0,HYUNDAI,18.5,1197.0,80.0,2.65
1822,Kolkata,3,10500,Diesel,Manual,First,5.0,MAHINDRA,25.32,1198.0,77.0,4.7
1823,Ahmedabad,6,49000,Diesel,Automatic,First,5.0,HYUNDAI,18.23,1582.0,126.2,8.9
1824,Mumbai,3,7000,Diesel,Manual,First,5.0,JEEP,17.1,1956.0,170.0,17.45
1825,Coimbatore,3,71256,Diesel,Manual,First,5.0,MARUTI,24.3,1248.0,88.5,9.58
1826,Kochi,8,83184,Petrol,Manual,First,5.0,TOYOTA,14.28,1798.0,138.03,6.22
1827,Kolkata,7,87284,Diesel,Manual,First,7.0,MAHINDRA,15.1,2179.0,140.0,7.8
1828,Mumbai,4,7000,Diesel,Automatic,First,5.0,BMW,20.68,1995.0,190.0,27.75
1829,Pune,5,29000,Diesel,Manual,Second,5.0,HYUNDAI,22.54,1396.0,88.73,7.0
1830,Coimbatore,3,33552,Diesel,Automatic,First,5.0,MERCEDES-BENZ,11.57,2987.0,254.79,64.87
